id	screen_name	followers_count
18139329	DJ_AM	185740
24585174	AdamWGontier	21015
290198034	adamgrace88	323
454233704	GrayForAssembly	1163
23242830	AverageCabbage	22497
28429722	TheAdamGregory	29733
133881451	adamdharrell	1350
234494753	adsharrison	1179
215903495	adharves	4885
338049545	adamhawleymusic	511
161374026	weliveoncliffs	7
46038655	adamhicks702	712702
25737699	aholzman	62
754646059	TheAdamBobby	247
1168792483	DurhamSUdev	561
37247567	EliasToufexis	21642
107123526	adamjones3	154178
577648576	KarisFlowers222	1590
128993338	adamd2r	678
113504465	theAdamKrier	1514
24132255	KidKury	502
123594649	AdamLake	945
46576295	adamlambert	2587172
123123116	AdamDamnLazzara	46453
2850285010	adamlehane09	263
58528137	adamlevine	6639299
22400271	Roothlus	19917
260986509	AdamLewisPI	1642
62203744	AdamLohrbach	278
2319839160	adammacdougall5	2447
16025958	AdamManning	2684
26064006	theAdamMarino	18406
616811034	AdamMarsey23	268
531445346	Adam2Matthews	109334
508833188	AdamMcGrath89	4834
114458918	ARMerrin	223
22310284	AMintheAM	3767
1880922469	adam_transeo	6536
1884855661	MoochieAdams	52
398896811	AMorgan94	124929
965172469	AdamNutter	98
1337687858	AdamORourke7	348
24340725	adamjodor	2649
597405746	adam_pallin	6
635874135	AdamPascalRules	1162
249965736	adam_paskowitz	210
802045700	AdamPfahler	3
24806438	_adampierce_	3159
20506075	LawsonAdam	144624
331843054	AdamPlack	37
571824423	adampopowitz	45
388400654	powelly1287	2091
15765590	remotelocation	1379
40273644	AdamTheSkull	17416
316756361	AdamSandler	2031032
289102237	ASchlesingerLaw	94
3026676143	sey303	59
21122578	AdamS	37267
18230028	amsiegel	623
29790132	siskybusiness	22820
472185221	AdamSmith912	41388
171205844	ASnyds68	26225
228555445	ridetheworld24	508
29790132	siskybusiness	22820
1500846018	AdamTanbouz	19
16288269	mradamtaylor	9874
14227473	adamtensta	38701
363729722	AdamTerrell1	303
282703736	adam__thompson	5222
3460636872	topeywan	122
3590518998	TurlaAdam	12
139849457	adamvadel	50769
80515468	adamadamwade	412
2176093390	adamwakefield	23345
1659773623	adz_warren	1093
2792368944	caffeinatedcons	148
61391941	White_Adam	13916
28097630	adamwilliamsTV	10969
28366666	willisco	438
20562483	ad_wilson	1647
816636666	adamwoodsaus	13186
224519109	adamatregister	519
93237993	AdamZadel	112
978974239	loveuford5	19
121032415	C_AdamskiTrib	9254
2201950890	SanchezAdan_	34
423605642	AdanCuenoficial	127
502224895	OssiaLaura	15959
1372501	theTVaddict	21920
35369562	PrettyAddictiv_	1175
520668857	MsAddyH	147
181512753	addisongroove	20513
18278803	addisonroad	28207
29791948	addyvanderzwan	3745
1685834215	PRODUCT_UK	209
225492471	adeltawil	166717
539885136	adela_89_	206
348682754	AdelaineMorin	181941
184910040	Adele	26598940
564075802	AdeleBertei	1183
3108996791	LOURDESPEREZTAP	1
17117719	adelitasway	94035
27361308	KyleGAdema	360
465700256	visceralsoluble	145
244472820	Victor4Mongil	6205
171241839	jADIE1807	2
919310282	Ethnography911	3554
280837254	adib_azfar	304
41325198	Adieorg	6352
2225611147	adyyazgomez	2196
589133791	_adiemus	330
66037128	AzminAli	196341
24543424	adinahoward	16272
163875132	_spiltmilk	704
3194592704	CNORichardson	3273
135056150	Admralp	3470
202912733	AdmiralT971	66633
123537570	Adokojo	28877
58041391	LosAdolescents	44685
34073334	Adolfo_Acosta	252
128717932	adolfodelaparra	67
199729226	pandindo	40
1097173087	UriasAdolfo	2287
251876126	adolfoangel1	20324
251876126	adolfoangel1	20324
537684550	JustAdorabIe	260789
412806234	AdoreDelano	216352
986338471	ElisaLovesJesi	23765
261511821	ADLAdrenaline	2466
28946840	Adrenaline	14262
313710770	AdrenalineMob	24756
50323173	WojVerticalNBA	1434633
28753216	AdriansSmile	1509
46483175	THEadrianbelew	9022
29848273	AdrianErlandson	6026
144544670	AdrianGreenArt	1497
296604401	AdrianPaulHenri	162
92838216	RedVelvet2016	189
2700046072	DerBroAdi	0
14758273	adrianlambert	266
390642722	teLEEcaster	1608
420046033	LeggAdrian	951
524332413	adrian7oficial	511119
19072861	Adrian_Lux	61995
76424053	AdrianMarcel510	49865
171477321	Adrian_Labour	1414
612556651	adrianolivaresy	11549
89757373	AdrianOstV	3
196376732	AceKnight99	246
20351322	adrianrobison	348
3039891855	adrianscaglione	45
41218057	AdrianSina	47592
296245061	RepAdrianSmith	5026
66097053	AdrianStern	960
342997403	adrianutley	3536
1922253283	Moonkingsband	2039
385079250	adrianwright77	453
151109321	iAdrianSantana	89
488655999	AdrianYoungND	33156
72900263	lacalcanhotto	52439
1861692055	Lil_BluBunny	4931
30574386	adrianakaegi	1576
92424330	AdriannaFoster	2522
16927443	AdriannaMarie	118367
16131833	adrjeffries	17301
205562135	BlessedEventsNY	1021
53947533	DRImusic	188
506716295	CelentanoClub	10029
510247345	aesfingedoegito	2403
131047786	adriatiquemusic	7416
704517578	adriel_favela	11971
121538737	Adriel_Garcia	642
21534339	AdrienneBailon	632643
25844981	feleciacruz	1399
256542586	AdventureDub	200743
1469062334	adventurespgh	4393
384992340	AdySuleiman	8350
181589093	TheAerMusic	62178
351561956	AeroChord	20608
37750706	VitoAeroplane	24994
25743813	Aerosmith	1371188
30618215	AesopRockWins	105977
87283581	AFFIANCEmusic	25251
19080760	AFI	108805
38627023	AfiliaSaga	16920
37649776	Springboks	452991
97840656	ras_r2da	3076
2207566490	ZuluNation1973	6435
428721603	mudijyvob	587
88708920	jeune_afrique	1335998
423546197	emmerson_s	602
17070714	gopalo	10792
31139960	AfroMedusa	85
280272612	AfroRicanLibra	560
544826358	JuandeMarcos1	438
324994507	Afrocubism	11
35727881	afrojack	2323357
2363500093	ogafroman	3442
392549463	afrocafe_sa	47606
258052829	Wael_Kobrosly	442
192830072	AFTERDAYBREAK	72
113738369	LAMofficial	3680
28962484	afterromeo	311980
1321765501	arirang_ASC	398203
273495492	aftertheburial	26000
211523379	AfterTheFire1	206
92973723	afterbach	2
291537553	afterdark	1262
242806134	Afterhours984	9771
3342023590	AfterShockComix	4533
250201836	AfuRa_87	207
47738974	AFXonline	2230
2612310985	againstme	23572
349495440	ATC_BAND	184157
18406403	AGALLAHFARO	8220
583097496	AgallochBand	4475
54252398	ageofchance	557
104429851	ageHa_Tokyo	30188
7376382	AgentM	1319728
20683570	SaritaAgerman	6177
398326549	AgesandAges	1581
323761741	Aggeliki_iliadi	101506
53954570	aggrosantos	65742
167683952	AgirOfficial	21444
635344928	emmalambs	19223
1452485605	AgnelliNelson	1345
627706777	AgnesBrownTV	83046
98951800	AgNEZMonica	237664
253571224	agnesobel	22537
17441304	agnete	1201
1243478906	agnethaofficial	11842
263164824	chylinska7278	22
746743294844080129	RybiaLuska	2
20927790	agnosticfront	84196
74845632	ago_sperandeo	163
26025734	agoraphobicnb	6066
179558666	AguaAzulMorena	94
2430979728	KillKat1968	471
516061903	Agust_Sept	1387
3336205469	AgustinPantojaB	129
39607982	djagustin	19292
190428088	AugieMartine	1943
64332526	austriandeath	5061
368157378	Ahlam_Alshamsi	6548796
434071161	ShkhRasheed	1691125
102739093	AhmadJamalCh	12640
19102410	AHMIR	29807
66974192	maknae1	196
21366867	AhnTrio	1138
36551196	AhrueLuster	1138
976064647	N_ahzz	222
14156466	reiver	2920
14156466	reiver	2920
19003659	aikawashima	113
2494086674	ai_otsuka99	39826
3249790560	10th_anniv	16453
110633684	AidaCuevas	23353
2991440073	aidanbanks27	331
247545586	iron_aidan	216
10418	Aiden	20031
2300893838	aiko_dochibi	487895
940080582	itzailee	1048117
24591623	aim	9918
47913318	Aimee_RA	556
21193261	aimeemann	124118
213970510	Aimer_and_staff	90260
47741472	DeAimo	4294
342303909	thisaintnolove	5004
25188045	ausindies	18174
127607809	airsupplymusic	14523
19154932	airtrafficlive	2668
1854971202	82ndABNDiv	12793
32283033	Airbourne	35256
2299890192	Tsune1990	167
47941938	airinairinairin	4371
58725608	clarinetpro87	249
2781049148	WovenEntity	158
18464629	obliqsound	935
1027378622	Akamyka	0
627094179	aizaseguerra	160629
110396781	ajplus	275813
2681501425	aj__78	150
118142311	ajmarchetta	36
38476490	alyandaj	662586
18657864	ajRAFAEL	182202
243521433	DonBreithaupt	465
3903718519	RealAjaVolkman	4622
153000691	AFCAjax	678629
708892126113873920	SayBoe74	95
571043259	Ajeeto	438
289782151	AJIIndo	10636
2328049400	appril_ajja	11383
105178160	AJRBrothers	62387
400757548	AKDramaFux	96
2422221866	caksent	142
31536819	projectak47	28711
219631766	AK69_staff	48005
127853385	Akshay1Malhotra	3260
36408956	ak1200	6290
21141787	mixtapejunkie	1459
3345859881	AkaeBeka	97
535178944	DeidaraAkatsuki	2706
9727812	AKB48	173995
169890746	akcentofficial	76054
2484766248	akmusgfc	1280
83391760	Aketofficiel	20304
163041976	AkhenatonIAM	63073
2240324401	akigametv	37850
133557184	aki__toyosaki	8738
2380700784	wowr_t	82
231720264	akihito_okano	772
722093054	a_shikata_quote	156
17973055	akilthemc	4913
2979363103	akina__nakamori	72
123640963	ChopReid	4260
20739301	JosiahA	1318
94163409	sonakshisinha	7546157
308903146	akira_0101	0
583882435	loudness222	17220
21620528	HeartofJustice	282
3432207058	akivaschaffer	1345
468430685	akko_happy_b	13125
25421094	Akon	5889513
1886605776	AkrobatikMC	5875
20869688	akronfamily	6430
55267207	Akwids	29250
556244714	WorldFamousHLs	369
3103034585	AL_GHASIYAH_101	250
770329639	district8AUSTIN	1297
30157620	OfficialAlBSure	53107
1265348683	neverfal_	6866
2153233610	AlBlochCableGuy	6
1852515187	al_bowden	2
159249830	AlBrownChef	8879
147437477	monikmc	18810
1686810048	Crazy_Lola_Al	563
200155515	diane_chan	1268
262536778	AlCisne	203
23172839	ConnellyAL	4962
243434629	alcondigas	45
30154001	BigAlDiddy	278
2199006265	alcopley1	19
600404289	AlcorleyAl	36
1546692212	YorkieAlPastor	24
64829036	aldimeolamusic	7961
285913747	al_downing	193
472867113	aldoyletweets	5439
141349233	Al_Fatz	2847
19409079	AlanFisher	24504
7334402	alfranken	248325
38788866	beachmont	320
1000612394	algart56	5572
34635985	algoodmanspain	3187
156333623	RepAlGreen	11300
518325420	Memphis_Al	423
426820160	AnnurAlAfiff	1254
1409881080	aliouette66	3
286143666	ReezaAlIslam	900
436112119	Djkid1985Al	34
172799260	ALANJARDINE	6274
77072464	AlJarreau	16737
27628330	Qcpik	0
255075776	goatontheroof	1147
2562021924	AlFknJourgensen	6449
34879407	disconerds	954
110157226	lahormigaatomik	117
2619575463	LeslieAL76	5
19089165	almadrigal	105296
36434117	AMORG1	106
17874397	BenDowling	418
20637008	almcmanus	159
531130555	hamza007_	329
461931078	thebeardie	89
2335587090	Al3xia_nichol	372
2655487923	al_pahanish	60
1025300598	AlPerkins22	195
245311448	Pitrelli_Al	41
604631264	AlCoholDaRappa	1246
29991587	Al_Rex_	43
349854065	AlRuzi	14
29718312	alschnier	5556
471429354	illalskratch	11682
572555911	Al_sobrante	0
1955280066	alstaehelymusic	193
63716376	alstewartinfo	3017
1493477466	MacaronAlStrong	548
1012231184	TariqAlBarwani	1315
911541228	AlBigal1271	0
236048701	AlvaroLawon	702
3321936724	AlWestaway	1
58494388	alsdrum	5110
637388866	AlDostourP	332160
299559143	AlaaWardi	45047
309132229	TheAlabamaBand	52032
374129770	Alabama_Shakes	167490
489171313	IshtarAlabina	1061
44301710	RealAlacranes	49953
419188834	pycewyhev	581
22005055	AlainClark	43456
38496375	AlainJohannes	13029
2183603517	alain_morisod	265
51376139	alainsouchon	629
34691301	Alaina_Moore	1381
482573505	anton_alan21	234
379833353	Alan_Atkins	105
465320229	Alan_Bailey_	404
3566446994	alienbirdman	29
308825676	AlanBibey	174
310262340	Alan_b1	14
628984032	AKamaleonik	82
27855479	youabigshot	386
17613563	buckboyy	1125
3164389349	caged_no_more	499
344262961	bencartwright69	316
1006641716	PPDAlanClark	302
15481502	JiveCork	428
1268168732	AlanCopeland	4337
1350312314	ManxWFA	1280
47752725	alanXday	12961
194358258	Alan9Dc	62
48846301	teknoteacher	8566
57602731	superallyd	45
227893559	AlanGDowney	488
244498663	alanthomasdoyle	50456
50806549	itsalanevans	550
55804793	FeinDesign	79
552137259	alanfitz14	265
125709461	AlanFrew	4136
483442238	AlanGogoll	31
2845818018	alan_gorrie	3
542989688	AlanGreenblatt	997
2672912686	scottyhaig	0
114321198	bigal3001	178
3137975652	44AlanHenderson	1836
33600812	alanhoffar	1
38403672	dr_alan_howard	109
139495755	alanhull	924
47916513	alanhhunter	989
50970611	Ajacks1993	243
48143209	OfficialJackson	513283
2966091399	AlanJonesPA	1593
116422140	alankellylabour	7808
70429891	ArnoldAlanKlein	19847
2233568665	AlanRLancaster	995
3758630537	alanlongmuirbcr	2282
16561299	alansbathrooms	1194
23243467	alanmansfield	163
154984224	AIMenken	30189
16280425	mileagenyc	713
19315353	alanmoore_	13044
84010815	alan_morse	529
440876185	AlanMurphyMMA	1809
7656042	supermyers	1824
1299188905	AlanMcNiven1	1227
48477151	KZNo1	2
42458868	AlanOsmond3	8850
1950732782	Alaann_777	198
292449860	NoseyAlanParker	68
23014234	alanparsons	15283
457139283	alanpasqua	368
2147401	PaulAlanClif	38554
63756115	ramslawyer	43
1181180035	alanpcayetano	31278
20342004	alanpowell10	35970
217422629	AlanPrice123	1531
21596032	rankinephoto	530
20802852	arobert	7893
17697473	AlanRubin	2795
1316469458	AlanSilson	3
2370760908	SilvestriMusic	2488
38950848	SawAlanSparhawkinBur	5
788987190	ziggibson	1316
24779648	patrickstone23	449
